epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,163.914,0.95984,0.63425,0.96957,0.97894,0.88987,0.95754,0.72719,0.85271,0.52805,0.96976,0.000594125,0.000594125,0.000594125
55,166.878,0.94322,0.63949,0.97346,0.95274,0.94807,0.96735,0.74069,0.89848,0.53929,0.9865,0.00058175,0.00058175,0.00058175
56,169.835,0.96084,0.63415,0.98734,0.97763,0.94736,0.97278,0.74212,0.90456,0.5236,0.97929,0.000569375,0.000569375,0.000569375
57,172.809,0.95639,0.61732,0.97439,0.97525,0.92606,0.97323,0.72681,0.85682,0.5081,0.95575,0.000557,0.000557,0.000557
58,175.639,0.91036,0.59523,0.95378,0.98322,0.94565,0.97415,0.75224,0.78537,0.49421,0.93391,0.000544625,0.000544625,0.000544625
59,178.565,0.91142,0.602,0.95826,0.98722,0.95035,0.97407,0.69023,0.91711,0.503,0.98102,0.00053225,0.00053225,0.00053225
60,181.492,0.89132,0.5857,0.95301,0.98149,0.95532,0.97999,0.6942,1.01097,0.52179,1.00325,0.000519875,0.000519875,0.000519875
61,184.276,0.92811,0.59785,0.95947,0.98687,0.95078,0.97982,0.73247,0.82018,0.49417,0.93742,0.0005075,0.0005075,0.0005075
62,187.062,0.94209,0.60213,0.97369,0.99353,0.9518,0.97473,0.73042,0.81936,0.4946,0.94584,0.000495125,0.000495125,0.000495125
63,189.873,0.93232,0.58185,0.95447,0.98112,0.95093,0.97766,0.70054,0.86638,0.50888,0.97185,0.00048275,0.00048275,0.00048275
64,192.725,0.91421,0.58677,0.95548,0.99028,0.94774,0.98439,0.75349,0.81752,0.48947,0.94618,0.000470375,0.000470375,0.000470375
65,195.558,0.89596,0.5836,0.95215,0.98963,0.95771,0.98375,0.75764,0.81718,0.48201,0.95211,0.000458,0.000458,0.000458
66,198.294,0.88421,0.57457,0.96442,0.9929,0.95845,0.98116,0.74688,0.77582,0.47425,0.93502,0.000445625,0.000445625,0.000445625
67,201.24,0.85058,0.5623,0.9405,0.98776,0.9522,0.97643,0.77031,0.76552,0.48739,0.93748,0.00043325,0.00043325,0.00043325
68,204.141,0.82606,0.56399,0.93512,0.98802,0.94798,0.97619,0.76258,0.75022,0.47401,0.93351,0.000420875,0.000420875,0.000420875
69,207.017,0.87469,0.56566,0.9552,0.98941,0.95882,0.98119,0.78757,0.73242,0.45443,0.92019,0.0004085,0.0004085,0.0004085
70,209.945,0.8265,0.53824,0.93433,0.98227,0.95901,0.98034,0.78224,0.72212,0.44868,0.91268,0.000396125,0.000396125,0.000396125
